row_index,season,window,transfer_type,player_name,player_url,team_name,club_2,country_2,league_2,country,league,transfer_fee,is_loan,transfer_notes,why_missing
47,2003,Summer,Departures,Marius Luca,https://www.transfermarkt.com/marius-luca/profil/spieler/371018,FC Brasov (- 2017),,,,,,,False,-,club_2 is empty/null
93,2006,Summer,Departures,Dragos Radu,https://www.transfermarkt.com/dragos-radu/profil/spieler/316060,FC Arges Pitesti (- 2013),,,,,,,False,-,club_2 is empty/null
116,2003,Summer,Departures,Adrian Blid,https://www.transfermarkt.com/adrian-blid/profil/spieler/497672,FC Arges Pitesti (- 2013),,,,,,,False,-,club_2 is empty/null
149,2003,Summer,Departures,Răzvan Lucescu,https://www.transfermarkt.com/razvan-lucescu/profil/spieler/215606,FC Rapid 1923,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
174,2003,Summer,Departures,Leontin Grozavu,https://www.transfermarkt.com/leontin-grozavu/profil/spieler/993,CSM Ceahlaul Piatra Neamt,,,,Romania,Liga 2,,False,-,club_2 is empty/null
175,2003,Summer,Departures,Radu Lefter,https://www.transfermarkt.com/radu-lefter/profil/spieler/358529,CSM Ceahlaul Piatra Neamt,,,,Romania,Liga 2,,False,-,club_2 is empty/null
176,2003,Summer,Departures,Mihai Ionescu,https://www.transfermarkt.com/mihai-ionescu/profil/spieler/609050,CSM Ceahlaul Piatra Neamt,,,,Romania,Liga 2,,False,-,club_2 is empty/null
263,2003,Summer,Departures,Stelian Bordieanu,https://www.transfermarkt.com/stelian-bordieanu/profil/spieler/630994,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
264,2003,Summer,Departures,Catalin Tofan,https://www.transfermarkt.com/catalin-tofan/profil/spieler/624595,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
265,2003,Summer,Departures,Costin Males,https://www.transfermarkt.com/costin-males/profil/spieler/624597,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
307,2003,Summer,Departures,Dan Petrescu,https://www.transfermarkt.com/dan-petrescu/profil/spieler/102023,Progresul Bucharest (- 2009),,,,,,,False,-,club_2 is empty/null
308,2003,Summer,Departures,Daniel Prodan,https://www.transfermarkt.com/daniel-prodan/profil/spieler/102025,Progresul Bucharest (- 2009),,,,,,,False,-,club_2 is empty/null
331,2003,Summer,Departures,Florin Constantinovici,https://www.transfermarkt.com/florin-constantinovici/profil/spieler/188665,Politehnica Timisoara (- 2012),,,,,,,False,-,club_2 is empty/null
332,2003,Summer,Departures,Steve Reese,https://www.transfermarkt.com/steve-reese/profil/spieler/777532,Politehnica Timisoara (- 2012),,,,,,,False,-,club_2 is empty/null
377,2003,Summer,Departures,Ioan Miszti,https://www.transfermarkt.com/ioan-miszti/profil/spieler/290958,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
378,2003,Summer,Departures,Vasile Oana,https://www.transfermarkt.com/vasile-oana/profil/spieler/117550,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
379,2003,Summer,Departures,Dorel Zegrean,https://www.transfermarkt.com/dorel-zegrean/profil/spieler/186727,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
579,2004,Summer,Departures,Pavel Badea,https://www.transfermarkt.com/pavel-badea/profil/spieler/214355,FC U Craiova 1948,,,,,,,False,-,club_2 is empty/null
752,2004,Summer,Departures,Ioan Pap-Deac,https://www.transfermarkt.com/ioan-pap-deac/profil/spieler/374349,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
753,2004,Summer,Departures,Sebastian Moga,https://www.transfermarkt.com/sebastian-moga/profil/spieler/182018,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
754,2004,Summer,Departures,Catalin Necula,https://www.transfermarkt.com/catalin-necula/profil/spieler/359190,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
837,2004,Winter,Departures,Sead Kolasinac,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/317738,CFR Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
858,2004,Winter,Departures,Laurentiu Lica,https://www.transfermarkt.com/laurentiu-lica/profil/spieler/149326,AFC Unirea 1924 (- 2022),,,,,,,False,-,club_2 is empty/null
909,2005,Summer,Departures,Liviu Ciobotariu,https://www.transfermarkt.com/liviu-ciobotariu/profil/spieler/103212,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
935,2005,Summer,Departures,Cristian Ciocoiu,https://www.transfermarkt.com/cristian-ciocoiu/profil/spieler/26490,FCSB,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1112,2005,Summer,Departures,Leonard Nemtanu,https://www.transfermarkt.com/leonard-nemtanu/profil/spieler/173051,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1114,2005,Summer,Departures,Georgel Toporan,https://www.transfermarkt.com/georgel-toporan/profil/spieler/304714,SC Otelul Galati,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1154,2005,Summer,Departures,Daniel Baston,https://www.transfermarkt.com/daniel-baston/profil/spieler/944499,CFR Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1276,2005,Summer,Departures,Costel Câmpeanu,https://www.transfermarkt.com/costel-campeanu/profil/spieler/222040,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
1277,2005,Summer,Departures,Vasile Popa,https://www.transfermarkt.com/vasile-popa/profil/spieler/170806,CF Gloria Bistrita (- 2015),,,,,,,False,-,club_2 is empty/null
1444,2006,Winter,Departures,Dennis Șerban,https://www.transfermarkt.com/dennis-serban/profil/spieler/7581,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1469,2006,Summer,Departures,Valentin Velcea,https://www.transfermarkt.com/valentin-velcea/profil/spieler/300302,Politehnica Timisoara (- 2012),,,,,,,False,-,club_2 is empty/null
1470,2006,Summer,Departures,Florin Bătrânu,https://www.transfermarkt.com/florin-batranu/profil/spieler/182385,Politehnica Timisoara (- 2012),,,,,,,False,-,club_2 is empty/null
1604,2006,Summer,Departures,Vasile Jercalau,https://www.transfermarkt.com/vasile-jercalau/profil/spieler/182012,Unirea Urziceni ( - 2011),,,,,,,False,-,club_2 is empty/null
1665,2006,Summer,Departures,Constantin Enache,https://www.transfermarkt.com/constantin-enache/profil/spieler/358556,UTA Arad,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
1708,2006,Summer,Departures,Florin Prunea,https://www.transfermarkt.com/florin-prunea/profil/spieler/20658,Progresul Bucharest (- 2009),,,,,,,False,-,club_2 is empty/null
1806,2006,Summer,Departures,Marius Neculai,https://www.transfermarkt.com/marius-neculai/profil/spieler/302111,SC Otelul Galati,,,,Romania,SuperLiga,,False,?,club_2 is empty/null
