season,position_group,total_spend,total_seasonal_spend,percentage_spend,transfer_count,avg_transfer_fee,median_transfer_fee,avg_percentage_of_total
2003,Attacking midfielders/wide players,50000.0,3600000.0,1.39,1,50000.0,50000.0,1.3889
2003,Centre-back,1700000.0,3600000.0,47.22,2,850000.0,850000.0,23.6111
2003,Centre-forward,1050000.0,3600000.0,29.17,5,210000.0,250000.0,5.8333
2003,Full-back,350000.0,3600000.0,9.72,3,116667.0,100000.0,3.2407
2003,Goalkeeper,150000.0,3600000.0,4.17,1,150000.0,150000.0,4.1667
2003,Midfielder,300000.0,3600000.0,8.33,1,300000.0,300000.0,8.3333
2004,Attacking midfielders/wide players,1650000.0,7325000.0,22.53,3,550000.0,350000.0,7.5085
2004,Centre-back,1270000.0,7325000.0,17.34,4,317500.0,350000.0,4.3345
2004,Centre-forward,1075000.0,7325000.0,14.68,4,268750.0,125000.0,3.6689
2004,Full-back,850000.0,7325000.0,11.6,4,212500.0,100000.0,2.901
2004,Goalkeeper,630000.0,7325000.0,8.6,2,315000.0,315000.0,4.3003
2004,Midfielder,1850000.0,7325000.0,25.26,8,231250.0,200000.0,3.157
2005,Attacking midfielders/wide players,1900000.0,8265000.0,22.99,5,380000.0,350000.0,4.5977
2005,Centre-back,1350000.0,8265000.0,16.33,6,225000.0,190000.0,2.7223
2005,Centre-forward,660000.0,8265000.0,7.99,4,165000.0,160000.0,1.9964
2005,Full-back,1280000.0,8265000.0,15.49,6,213333.0,95000.0,2.5812
2005,Goalkeeper,600000.0,8265000.0,7.26,6,100000.0,100000.0,1.2099
2005,Midfielder,2475000.0,8265000.0,29.95,7,353571.0,250000.0,4.2779
2006,Attacking midfielders/wide players,5185000.0,23810000.0,21.78,14,370357.0,300000.0,1.5555
2006,Centre-back,2070000.0,23810000.0,8.69,9,230000.0,100000.0,0.966
2006,Centre-forward,6100000.0,23810000.0,25.62,12,508333.0,400000.0,2.135
2006,Full-back,2655000.0,23810000.0,11.15,11,241364.0,200000.0,1.0137
2006,Goalkeeper,1850000.0,23810000.0,7.77,6,308333.0,100000.0,1.295
2006,Midfielder,5950000.0,23810000.0,24.99,16,371875.0,175000.0,1.5618
2007,Attacking midfielders/wide players,4995000.0,49290000.0,10.13,11,454091.0,170000.0,0.9213
2007,Centre-back,7560000.0,49290000.0,15.34,19,397895.0,200000.0,0.8073
2007,Centre-forward,17545000.0,49290000.0,35.6,27,649815.0,500000.0,1.3184
2007,Full-back,6625000.0,49290000.0,13.44,18,368056.0,275000.0,0.7467
2007,Goalkeeper,3515000.0,49290000.0,7.13,9,390556.0,250000.0,0.7924
2007,Midfielder,9050000.0,49290000.0,18.36,22,411364.0,337500.0,0.8346
2008,Attacking midfielders/wide players,12240000.0,54685000.0,22.38,24,510000.0,450000.0,0.9326
2008,Centre-back,9400000.0,54685000.0,17.19,30,313333.0,275000.0,0.573
2008,Centre-forward,15110000.0,54685000.0,27.63,32,472188.0,265000.0,0.8635
2008,Full-back,6905000.0,54685000.0,12.63,17,406176.0,250000.0,0.7428
2008,Goalkeeper,3350000.0,54685000.0,6.13,7,478571.0,250000.0,0.8751
2008,Midfielder,7680000.0,54685000.0,14.04,26,295385.0,200000.0,0.5402
