"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FCSB","SuperLiga","Romania","2009","Arrivals","Cristian Tănase","https://www.transfermarkt.com/cristian-tanase/profil/spieler/46662","Left Winger","22","Romania","FC Arges","Liga II - Seria II","Romania",1800000,FALSE,NA,"Summer",27,26,1,1546
"FCSB","SuperLiga","Romania","2009","Arrivals","Ciprian Tătărușanu","https://www.transfermarkt.com/ciprian-tatarusanu/profil/spieler/55282","Goalkeeper","23","Romania","Gloria Bistrita","SuperLiga","Romania",1500000,FALSE,NA,"Summer",29,20,0,1830
"FCSB","SuperLiga","Romania","2009","Arrivals","Rafal Grzelak","https://www.transfermarkt.com/rafal-grzelak/profil/spieler/1409","Attacking Midfield","27","Poland","AO Xanthi","Super League 1","Greece",2e+05,TRUE,NA,"Summer",13,13,1,474
"FCSB","SuperLiga","Romania","2009","Arrivals","Krum Bibishkov","https://www.transfermarkt.com/krum-bibishkov/profil/spieler/26022","Centre-Forward","26","Bulgaria","Lovech","efbet Liga","Bulgaria",0,FALSE,NA,"Summer",8,5,0,294
"FCSB","SuperLiga","Romania","2009","Arrivals","Tininho","https://www.transfermarkt.com/tininho/profil/spieler/24883","Left-Back","28","Portugal","Belenenses","Liga Portugal","Portugal",0,FALSE,NA,"Summer",4,1,0,4
"FCSB","SuperLiga","Romania","2009","Arrivals","Alexandru Iacob","https://www.transfermarkt.com/alexandru-iacob/profil/spieler/53201","Centre-Back","20","Romania","FCSB II","Liga 2","Romania",NA,FALSE,"-","Summer",6,3,0,88
"FCSB","SuperLiga","Romania","2009","Arrivals","Romeo Surdu","https://www.transfermarkt.com/romeo-surdu/profil/spieler/43378","Left Winger","25","Romania","FC Brasov","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2009","Summer",45,44,6,2541
"FCSB","SuperLiga","Romania","2009","Arrivals","Ionut Rada","https://www.transfermarkt.com/ionut-rada/profil/spieler/34506","Centre-Back","26","Romania","CS Otopeni","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2009","Summer",19,19,0,1740
"FCSB","SuperLiga","Romania","2009","Arrivals","Ducu Ninu","https://www.transfermarkt.com/ducu-ninu/profil/spieler/42788","Centre-Back","22","Romania","Gloria Bistrita","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2009","Summer",18,13,0,928
"FCSB","SuperLiga","Romania","2009","Arrivals","Daniel Bălan","https://www.transfermarkt.com/daniel-balan/profil/spieler/26488","Right-Back","29","Romania","Alki Larnaca","Cyprus League","Cyprus",NA,TRUE,"End of loan Jun 30, 2009","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2009","Arrivals","Robert Neagoe","https://www.transfermarkt.com/robert-neagoe/profil/spieler/33902","Left Midfield","27","Romania","Gloria Bistrita","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2009","Summer",NA,NA,NA,NA
"FCSB","SuperLiga","Romania","2009","Departures","Dorin Goian","https://www.transfermarkt.com/dorin-goian/profil/spieler/34756","Centre-Back","28","Romania","Palermo","Serie A","Italy",2e+06,FALSE,NA,"Summer",4,4,0,360
