team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Dennis Politic,https://www.transfermarkt.com/dennis-politic/profil/spieler/470152,Left Winger,25,Romania,FC Dinamo,SuperLiga,Romania,NA,FALSE,€970k,Summer,39,24,3,687
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Mamadou Thiam,https://www.transfermarkt.com/mamadou-thiam/profil/spieler/368624,Centre-Forward,30,Senegal,U Cluj,SuperLiga,Romania,NA,FALSE,€50k,Summer,36,34,5,1308
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Andrei Gheorghiță,https://www.transfermarkt.com/andrei-gheorghita/profil/spieler/880840,Left Midfield,22,Romania,ACSM Poli Iasi,Liga 2,Romania,0,FALSE,NA,Summer,4,3,0,106
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Denis Alibec,https://www.transfermarkt.com/denis-alibec/profil/spieler/81396,Centre-Forward,34,Romania,FCV Farul,SuperLiga,Romania,0,FALSE,NA,Summer,22,14,1,370
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Daniel Graovac,https://www.transfermarkt.com/daniel-graovac/profil/spieler/131728,Centre-Back,31,Bosnia-Herzegovina,CFR Cluj,SuperLiga,Romania,0,FALSE,NA,Summer,44,30,1,2357
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Sebastian Radu,https://www.transfermarkt.com/sebastian-radu/profil/spieler/1085616,Right-Back,19,Romania,FCSB U18,NA,Romania,NA,FALSE,-,Summer,NA,NA,NA,NA
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Ovidiu Perianu,https://www.transfermarkt.com/ovidiu-perianu/profil/spieler/623425,Defensive Midfield,23,Romania,Unirea Slobozia,SuperLiga,Romania,NA,TRUE,End of loan 30/06/2025,Summer,6,3,0,97
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Laurențiu Vlăsceanu,https://www.transfermarkt.com/laurentiu-vlasceanu/profil/spieler/912165,Left-Back,20,Romania,Unirea Slobozia,SuperLiga,Romania,NA,TRUE,End of loan 30/06/2025,Summer,5,0,0,0
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,Ricardo Pădurariu,https://www.transfermarkt.com/ricardo-padurariu/profil/spieler/992848,Left-Back,18,Romania,Gloria Bistrita,NA,Romania,NA,TRUE,End of loan 30/06/2025,Summer,NA,NA,NA,NA
FCSB,SuperLiga,Romania,https://www.transfermarkt.com/fcsb/transfers/verein/301,Arrivals,João Paulo,https://www.transfermarkt.com/joao-paulo/profil/spieler/623965,Defensive Midfield,27,Cape Verde,Otelul Galati,SuperLiga,Romania,NA,FALSE,€600k,Winter,9,9,0,534
