team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Claudiu Niculescu,https://www.transfermarkt.com/claudiu-niculescu/profil/spieler/26049,Centre-Forward,27,Romania,Genoa,Serie B,Italy,320000.0,False,,Summer,37.0,37.0,19.0,2581.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Xavier Méride,https://www.transfermarkt.com/xavier-meride/profil/spieler/151412,Centre-Back,28,France,Wasquehal,Championnat National,France,0.0,False,,Summer,8.0,7.0,0.0,503.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Grégory Delwarte,https://www.transfermarkt.com/gregory-delwarte/profil/spieler/16245,Goalkeeper,25,Belgium,RAEC Mons,Jupiler Pro League,Belgium,0.0,False,,Summer,16.0,15.0,0.0,1305.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Samuel Okunowo,https://www.transfermarkt.com/samuel-okunowo/profil/spieler/3517,Right-Back,24,Nigeria,Ionikos Nikeas,Super League 1,Greece,0.0,False,,Summer,3.0,3.0,0.0,208.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Mugur Bolohan,https://www.transfermarkt.com/mugur-bolohan/profil/spieler/54726,Defensive Midfield,27,Romania,FCM Bacau,SuperLiga,Romania,,False,?,Summer,1.0,1.0,0.0,8.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Ștefan Preda,https://www.transfermarkt.com/stefan-preda/profil/spieler/102024,Goalkeeper,33,Romania,FC Arges,SuperLiga,Romania,,False,?,Summer,14.0,13.0,0.0,1106.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Leonard Naidin,https://www.transfermarkt.com/leonard-naidin/profil/spieler/26042,Attacking Midfield,23,Romania,Bihor Oradea,SuperLiga,Romania,,False,?,Summer,9.0,8.0,0.0,325.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Catalin Petre Craciunescu,https://www.transfermarkt.com/catalin-petre-craciunescu/profil/spieler/48776,Centre-Back,25,Romania,FC U Craiova,SuperLiga,Romania,,True,loan transfer,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Adrian Iordache,https://www.transfermarkt.com/adrian-iordache/profil/spieler/26038,Centre-Back,22,Romania,Otelul Galati,SuperLiga,Romania,,True,"End of loan Jun 30, 2003",Summer,32.0,30.0,3.0,2380.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Dorin Semeghin,https://www.transfermarkt.com/dorin-semeghin/profil/spieler/26044,Left-Back,24,Romania,FC Arges,SuperLiga,Romania,,True,"End of loan Jun 30, 2003",Summer,36.0,35.0,1.0,3002.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Ianis Zicu,https://www.transfermarkt.com/ianis-zicu/profil/spieler/16909,Attacking Midfield,19,Romania,Farul Constanta,SuperLiga,Romania,,True,"End of loan Jun 30, 2003",Summer,19.0,19.0,8.0,1365.0
FC Dinamo 1948,SuperLiga,Romania,2003,Arrivals,Cristian Pulhac,https://www.transfermarkt.com/cristian-pulhac/profil/spieler/34781,Left-Back,18,Romania,Poiana Campina,,Romania,,True,"End of loan Jun 30, 2003",Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Ianis Zicu,https://www.transfermarkt.com/ianis-zicu/profil/spieler/16909,Attacking Midfield,19,Romania,Inter,Serie A,Italy,2500000.0,False,,Summer,19.0,19.0,8.0,1365.0
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Gabriel Tamaș,https://www.transfermarkt.com/gabriel-tamas/profil/spieler/6893,Centre-Back,19,Romania,Galatasaray,Süper Lig,Türkiye,2000000.0,False,,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Cornel Frăsineanu,https://www.transfermarkt.com/cornel-frasineanu/profil/spieler/10129,Left Midfield,26,Romania,Bursaspor,Süper Lig,Türkiye,800000.0,False,,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Nicolae Mitea,https://www.transfermarkt.com/nicolae-mitea/profil/spieler/7433,Left Winger,18,Romania,Ajax,Eredivisie,Netherlands,720000.0,False,,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Flavius Stoican,https://www.transfermarkt.com/flavius-stoican/profil/spieler/22127,Right-Back,26,Romania,Shakhtar D.,Premier Liga,Ukraine,700000.0,False,,Summer,12.0,12.0,1.0,1011.0
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Iosif Talvan,https://www.transfermarkt.com/iosif-talvan/profil/spieler/187990,Left-Back,30,Romania,HN FC,,China,0.0,False,,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Giani Kiriță,https://www.transfermarkt.com/giani-kirita/profil/spieler/7065,Defensive Midfield,26,Romania,Samsunspor,Süper Lig,Türkiye,0.0,False,,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Daniel Tudor,https://www.transfermarkt.com/daniel-tudor/profil/spieler/48913,Goalkeeper,29,Romania,Fehérvár,NB I.,Hungary,,False,?,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Bogdan Onut,https://www.transfermarkt.com/bogdan-onut/profil/spieler/47491,Centre-Back,26,Romania,Farul Constanta,SuperLiga,Romania,,False,?,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Andrei Militaru,https://www.transfermarkt.com/andrei-militaru/profil/spieler/885566,Defender,23,Romania,Poli. Timisoara,SuperLiga,Romania,,False,?,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Cristian Munteanu,https://www.transfermarkt.com/cristian-munteanu/profil/spieler/26032,Goalkeeper,28,Romania,Progresul,SuperLiga,Romania,,True,loan transfer,Summer,14.0,11.0,0.0,900.0
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Claudiu Drăgan,https://www.transfermarkt.com/claudiu-dragan/profil/spieler/26048,Centre-Forward,24,Romania,FC Arges,SuperLiga,Romania,,True,loan transfer,Summer,10.0,10.0,0.0,253.0
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Marian Vătavu,https://www.transfermarkt.com/marian-vatavu/profil/spieler/47896,Centre-Back,21,Romania,U Cluj,,Romania,,True,loan transfer,Summer,,,,
FC Dinamo 1948,SuperLiga,Romania,2003,Departures,Cristian Pulhac,https://www.transfermarkt.com/cristian-pulhac/profil/spieler/34781,Left-Back,18,Romania,Sportul S.,,Romania,,True,loan transfer,Summer,,,,
