Year,Position,Country
2003,1,Spain
2003,2,Italy
2003,3,England
2003,4,Germany
2003,5,France
2003,6,Greece
2003,7,Portugal
2003,8,Netherlands
2003,9,Scotland
2003,10,Turkey
2003,11,Belgium
2003,12,Czech Republic
2003,13,Switzerland
2003,14,Ukraine
2003,15,Israel
2003,16,Austria
2003,17,Poland
2003,18,Russia
2003,19,Serbia and Montenegro
2003,20,Norway
2003,21,Bulgaria
2003,22,Croatia
2003,23,Sweden
2003,24,Denmark
2003,25,Slovakia
2003,26,Romania
2003,27,Hungary
2003,28,Cyprus
2003,29,Slovenia
2003,30,Finland
2003,31,Latvia
2003,32,Moldova
2003,33,Georgia
2003,34,Bosnia and Herzegovina
2003,35,Lithuania
2003,36,Iceland
2003,37,Macedonia
2003,38,Belarus
2003,39,Republic of Ireland
2003,40,Malta
2003,41,Armenia
2003,42,Wales
2003,43,Liechtenstein
2003,44,Albania
2003,45,Estonia
2003,46,Northern Ireland
2003,47,Luxembourg
2003,48,Faroe Islands
2003,49,Azerbaijan
2003,50,Kazakhstan
2003,51,Andorra
2003,52,San Marino
2004,1,Spain
2004,2,England
2004,3,Italy
2004,4,Germany
2004,5,France
2004,6,Portugal
2004,7,Greece
2004,8,Netherlands
2004,9,Czech Republic
2004,10,Turkey
2004,11,Scotland
2004,12,Belgium
2004,13,Switzerland
2004,14,Ukraine
2004,15,Norway
2004,16,Poland
2004,17,Israel
2004,18,Austria
2004,19,Serbia and Montenegro
2004,20,Bulgaria
2004,21,Russia
2004,22,Denmark
2004,23,Croatia
2004,24,Sweden
2004,25,Hungary
2004,26,Romania
2004,27,Slovakia
2004,28,Slovenia
2004,29,Cyprus
2004,30,Moldova
2004,31,Latvia
2004,32,Finland
2004,33,Bosnia and Herzegovina
2004,34,Georgia
2004,35,Macedonia
2004,36,Lithuania
2004,37,Belarus
2004,38,Iceland
2004,39,Malta
2004,40,Republic of Ireland
2004,41,Armenia
2004,42,Wales
2004,43,Liechtenstein
2004,44,Albania
2004,45,Estonia
2004,46,Northern Ireland
2004,47,Luxembourg
2004,48,Faroe Islands
2004,49,Azerbaijan
2004,50,Kazakhstan
2004,51,Andorra
2004,52,San Marino
2005,1,Spain
2005,2,England
2005,3,Italy
2005,4,France
2005,5,Germany
2005,6,Portugal
2005,7,Netherlands
2005,8,Greece
2005,9,Belgium
2005,10,Scotland
2005,11,Turkey
2005,12,Czech Republic
2005,13,Russia
2005,14,Austria
2005,15,Ukraine
2005,16,Israel
2005,17,Serbia and Montenegro
2005,18,Poland
2005,19,Switzerland
2005,20,Norway
2005,21,Bulgaria
2005,22,Croatia
2005,23,Denmark
2005,24,Hungary
2005,25,Romania
2005,26,Sweden
2005,27,Slovakia
2005,28,Slovenia
2005,29,Cyprus
2005,30,Bosnia and Herzegovina
2005,31,Latvia
2005,32,Finland
2005,33,Moldova
2005,34,Georgia
2005,35,Lithuania
2005,36,Iceland
2005,37,Macedonia
2005,38,Republic of Ireland
2005,39,Belarus
2005,40,Liechtenstein
2005,41,Armenia
2005,42,Malta
2005,43,Albania
2005,44,Estonia
2005,45,Northern Ireland
2005,46,Wales
2005,47,Luxembourg
2005,48,Azerbaijan
2005,49,Faroe Islands
2005,50,Kazakhstan
2005,51,Andorra
2005,52,San Marino
2006,1,Spain
2006,2,Italy
2006,3,England
2006,4,France
2006,5,Germany
2006,6,Portugal
2006,7,Netherlands
2006,8,Greece
2006,9,Russia
2006,10,Romania
2006,11,Scotland
2006,12,Belgium
2006,13,Ukraine
2006,14,Czech Republic
2006,15,Turkey
2006,16,Switzerland
2006,17,Bulgaria
2006,18,Israel
2006,19,Norway
2006,20,Austria
2006,21,Serbia and Montenegro
2006,22,Poland
2006,23,Denmark
2006,24,Hungary
2006,25,Croatia
2006,26,Sweden
2006,27,Slovakia
2006,28,Cyprus
2006,29,Slovenia
2006,30,Bosnia and Herzegovina
2006,31,Finland
2006,32,Latvia
2006,33,Moldova
2006,34,Georgia
2006,35,Lithuania
2006,36,Macedonia
2006,37,Iceland
2006,38,Belarus
2006,39,Republic of Ireland
2006,40,Albania
2006,41,Armenia
2006,42,Estonia
2006,43,Malta
2006,44,Wales
2006,45,Northern Ireland
2006,46,Azerbaijan
2006,47,Liechtenstein
2006,48,Luxembourg
2006,49,Faroe Islands
2006,50,Kazakhstan
2006,51,Andorra
2006,52,San Marino
2007,1,Spain
2007,2,England
2007,3,Italy
2007,4,France
2007,5,Germany
2007,6,Portugal
2007,7,Romania
2007,8,Netherlands
2007,9,Russia
2007,10,Scotland
2007,11,Ukraine
2007,12,Belgium
2007,13,Czech Republic
2007,14,Turkey
2007,15,Greece
2007,16,Bulgaria
2007,17,Switzerland
2007,18,Norway
2007,19,Israel
2007,20,Serbia
2007,21,Denmark
2007,22,Austria
2007,23,Poland
2007,24,Hungary
2007,25,Slovakia
2007,26,Croatia
2007,27,Cyprus
2007,28,Sweden
2007,29,Slovenia
2007,30,Bosnia and Herzegovina
2007,31,Latvia
2007,32,Lithuania
2007,33,Finland
2007,34,Moldova
2007,35,Republic of Ireland
2007,36,Georgia
2007,37,Liechtenstein
2007,38,Macedonia
2007,39,Iceland
2007,40,Belarus
2007,41,Albania
2007,42,Estonia
2007,43,Armenia
2007,44,Azerbaijan
2007,45,Kazakhstan
2007,46,Northern Ireland
2007,47,Wales
2007,48,Faroe Islands
2007,49,Luxembourg
2007,50,Malta
2007,51,Andorra
2007,52,San Marino
2007,53,Montenegro
2008,1,England
2008,2,Spain
2008,3,Italy
2008,4,France
2008,5,Germany
2008,6,Russia
2008,7,Romania
2008,8,Portugal
2008,9,Netherlands
2008,10,Scotland
2008,11,Turkey
2008,12,Ukraine
2008,13,Belgium
2008,14,Greece
2008,15,Czech Republic
2008,16,Switzerland
2008,17,Bulgaria
2008,18,Norway
2008,19,Denmark
2008,20,Austria
2008,21,Serbia
2008,22,Israel
2008,23,Sweden
2008,24,Slovakia
2008,25,Poland
2008,26,Hungary
2008,27,Croatia
2008,28,Cyprus
2008,29,Slovenia
2008,30,Finland
2008,31,Latvia
2008,32,Bosnia and Herzegovina
2008,33,Lithuania
2008,34,Moldova
2008,35,Republic of Ireland
2008,36,Macedonia
2008,37,Iceland
2008,38,Georgia
2008,39,Liechtenstein
2008,40,Belarus
2008,41,Estonia
2008,42,Azerbaijan
2008,43,Albania
2008,44,Armenia
2008,45,Kazakhstan
2008,46,Northern Ireland
2008,47,Wales
2008,48,Faroe Islands
2008,49,Luxembourg
2008,50,Malta
2008,51,Montenegro
2008,52,Andorra
2008,53,San Marino
2009,1,England
2009,2,Spain
2009,3,Italy
2009,4,Germany
2009,5,France
2009,6,Russia
2009,7,Ukraine
2009,8,Netherlands
2009,9,Romania
2009,10,Portugal
2009,11,Turkey
2009,12,Greece
2009,13,Scotland
2009,14,Belgium
2009,15,Switzerland
2009,16,Denmark
2009,17,Bulgaria
2009,18,Czech Republic
2009,19,Norway
2009,20,Austria
2009,21,Serbia
2009,22,Israel
2009,23,Cyprus
2009,24,Sweden
2009,25,Slovakia
2009,26,Poland
2009,27,Croatia
2009,28,Finland
2009,29,Lithuania
2009,30,Republic of Ireland
2009,31,Latvia
2009,32,Slovenia
2009,33,Belarus
2009,34,Bosnia and Herzegovina
2009,35,Hungary
2009,36,Iceland
2009,37,Moldova
2009,38,Georgia
2009,39,Liechtenstein
2009,40,Macedonia
2009,41,Azerbaijan
2009,42,Estonia
2009,43,Albania
2009,44,Kazakhstan
2009,45,Armenia
2009,46,Wales
2009,47,Northern Ireland
2009,48,Faroe Islands
2009,49,Luxembourg
2009,50,Montenegro
2009,51,Andorra
2009,52,Malta
2009,53,San Marino
2010,1,England
2010,2,Spain
2010,3,Italy
2010,4,Germany
2010,5,France
2010,6,Russia
2010,7,Ukraine
2010,8,Romania
2010,9,Portugal
2010,10,Netherlands
2010,11,Turkey
2010,12,Greece
2010,13,Switzerland
2010,14,Belgium
2010,15,Denmark
2010,16,Scotland
2010,17,Bulgaria
2010,18,Czech Republic
2010,19,Austria
2010,20,Cyprus
2010,21,Israel
